regime,type_label,size,level,n_events,n_interarrivals,T,mean_tau
R2,buy_submit,7,2,1314,1313,23397.673190644004,17.710722798432595
R2,buy_submit,7,3,8,7,23397.673190644004,1663.024524888428
R2,buy_submit,7,4,11,10,23397.673190644004,1920.2987622474
R2,buy_submit,7,5,2,1,23397.673190644004,4387.058333942994
R2,buy_submit,8,0,0,0,23397.673190644004,
R2,buy_submit,8,1,0,0,23397.673190644004,
R2,buy_submit,8,2,2090,2089,23397.673190644004,11.197330773921497
R2,buy_submit,8,3,5,4,23397.673190644004,3984.218578159249
R2,buy_submit,8,4,13,12,23397.673190644004,1746.3952417404998
R2,buy_submit,8,5,11,10,23397.673190644004,1312.6661779624003
R2,buy_submit,9,0,0,0,23397.673190644004,
R2,buy_submit,9,1,0,0,23397.673190644004,
R2,buy_submit,9,2,956,955,23397.673190644004,24.492702883095287
R2,buy_submit,9,3,0,0,23397.673190644004,
R2,buy_submit,9,4,0,0,23397.673190644004,
R2,buy_submit,9,5,1,0,23397.673190644004,
R2,buy_submit,10,0,0,0,23397.673190644004,
R2,buy_submit,10,1,0,0,23397.673190644004,
R2,buy_submit,10,2,13568,13567,23397.673190644004,1.7245816321208816
R2,buy_submit,10,3,52,51,23397.673190644004,458.6146499652549
R2,buy_submit,10,4,43,42,23397.673190644004,555.0459568830239
R2,buy_submit,10,5,40,39,23397.673190644004,599.8285680319744
R2,sell_cancel,1,0,0,0,23397.673190644004,
R2,sell_cancel,1,1,37,36,23397.673190644004,573.027594062639
R2,sell_cancel,1,2,4317,4316,23397.673190644004,5.420964078463394
R2,sell_cancel,1,3,324,323,23397.673190644004,72.43232582297833
R2,sell_cancel,1,4,336,335,23397.673190644004,69.77047938161792
R2,sell_cancel,1,5,89,88,23397.673190644004,265.7934275600455
R2,sell_cancel,2,0,0,0,23397.673190644004,
R2,sell_cancel,2,1,7,6,23397.673190644004,107.60324740599997
R2,sell_cancel,2,2,3991,3990,23397.673190644004,5.858694571127569
R2,sell_cancel,2,3,196,195,23397.673190644004,119.59932165985643
R2,sell_cancel,2,4,46,45,23397.673190644004,518.4901841942221
R2,sell_cancel,2,5,30,29,23397.673190644004,792.2629754272416
R2,sell_cancel,3,0,0,0,23397.673190644004,
R2,sell_cancel,3,1,14,13,23397.673190644004,1760.380259623231
R2,sell_cancel,3,2,1335,1334,23397.673190644004,17.522561275686655
R2,sell_cancel,3,3,123,122,23397.673190644004,191.10963954462292
R2,sell_cancel,3,4,102,101,23397.673190644004,222.4013683764653
R2,sell_cancel,3,5,18,17,23397.673190644004,1052.6685364682944
R2,sell_cancel,4,0,0,0,23397.673190644004,
R2,sell_cancel,4,1,14,13,23397.673190644004,1760.2620562216152
R2,sell_cancel,4,2,2595,2594,23397.673190644004,9.017397721490363
R2,sell_cancel,4,3,54,53,23397.673190644004,439.86895384216973
R2,sell_cancel,4,4,11,10,23397.673190644004,2329.7063874465
R2,sell_cancel,4,5,2,1,23397.673190644004,22884.728548972
R2,sell_cancel,5,0,0,0,23397.673190644004,
R2,sell_cancel,5,1,2,1,23397.673190644004,108.56034665300103
R2,sell_cancel,5,2,2854,2853,23397.673190644004,8.19977748202769
R2,sell_cancel,5,3,168,167,23397.673190644004,140.0798764846467
R2,sell_cancel,5,4,90,89,23397.673190644004,262.62884916816853
R2,sell_cancel,5,5,69,68,23397.673190644004,337.8526881290294
R2,sell_cancel,6,0,0,0,23397.673190644004,
R2,sell_cancel,6,1,0,0,23397.673190644004,
R2,sell_cancel,6,2,1148,1147,23397.673190644004,20.33612606124237
R2,sell_cancel,6,3,19,18,23397.673190644004,1174.254809510889
R2,sell_cancel,6,4,7,6,23397.673190644004,1422.5687683913336
R2,sell_cancel,6,5,5,4,23397.673190644004,5432.04712647825
R2,sell_cancel,7,0,0,0,23397.673190644004,
R2,sell_cancel,7,1,0,0,23397.673190644004,
R2,sell_cancel,7,2,899,898,23397.673190644004,25.997919320544543
R2,sell_cancel,7,3,17,16,23397.673190644004,1419.9614772798127
R2,sell_cancel,7,4,5,4,23397.673190644004,5077.032025670751
R2,sell_cancel,7,5,2,1,23397.673190644004,4169.967553281
R2,sell_cancel,8,0,0,0,23397.673190644004,
R2,sell_cancel,8,1,4,3,23397.673190644004,51.44275339299929
R2,sell_cancel,8,2,1721,1720,23397.673190644004,13.595148565140699
R2,sell_cancel,8,3,8,7,23397.673190644004,3326.5444101531425
R2,sell_cancel,8,4,2,1,23397.673190644004,6833.433873539994
R2,sell_cancel,8,5,0,0,23397.673190644004,
R2,sell_cancel,9,0,0,0,23397.673190644004,
R2,sell_cancel,9,1,1,0,23397.673190644004,
R2,sell_cancel,9,2,560,559,23397.673190644004,41.61726154619856
R2,sell_cancel,9,3,7,6,23397.673190644004,3534.5811807441664
R2,sell_cancel,9,4,2,1,23397.673190644004,1270.4262032479965
R2,sell_cancel,9,5,2,1,23397.673190644004,16665.31341429
R2,sell_cancel,10,0,0,0,23397.673190644004,
R2,sell_cancel,10,1,5,4,23397.673190644004,5688.746215861249
R2,sell_cancel,10,2,4472,4471,23397.673190644004,5.209835204892642
R2,sell_cancel,10,3,66,65,23397.673190644004,357.8437768429078
R2,sell_cancel,10,4,41,40,23397.673190644004,581.85844329215
R2,sell_cancel,10,5,31,30,23397.673190644004,779.4423189563332
R2,buy_cancel,1,0,0,0,23397.673190644004,
R2,buy_cancel,1,1,37,36,23397.673190644004,635.6493800037499
R2,buy_cancel,1,2,3688,3687,23397.673190644004,6.345991872396527
R2,buy_cancel,1,3,494,493,23397.673190644004,47.451345276322506
R2,buy_cancel,1,4,298,297,23397.673190644004,78.4454462145825
R2,buy_cancel,1,5,90,89,23397.673190644004,262.6157239243034
R2,buy_cancel,2,0,0,0,23397.673190644004,
R2,buy_cancel,2,1,15,14,23397.673190644004,1659.7003460476428
R2,buy_cancel,2,2,7254,7253,23397.673190644004,3.225707425092238
