regime,type_idx,type_label,depth,xi_bin,mu,alpha,beta,branching_ratio,n_events,log_lik,converged,fallback
R1,1,buy_submit,10,0,0.3132384504546749,0.09239378777682579,1503.7645353552973,6.144165898618944e-05,8076,-13560.618370789289,True,False
R1,1,buy_submit,10,1,0.04922666857555266,0.27638386424528905,12154.351206235104,2.2739499587892926e-05,1592,-1858.7650656681653,False,False
R1,1,buy_submit,10,2,0.029007847681488227,0.47981120764085466,9898.123093415179,4.847496875039407e-05,1305,1212.038965608019,True,False
R1,1,buy_submit,10,3,0.01382776653031413,0.7015027284256611,465.8632659861685,0.0015058124983103704,1084,1681.9036567475807,True,False
R1,1,buy_submit,10,4,0.003900026177142077,0.7520085369437326,250.6547604644555,0.0030001765597839998,368,541.9829489516496,True,False
R1,1,buy_submit,10,5,0.001,0.0,1.0,0.0,9,-85.56973090560723,False,True
R1,2,sell_cancel,1,0,0.40464346124927053,0.44586234155006893,1.7151543006852858,0.2599546532763412,17087,-20087.816183466748,True,False
R1,2,sell_cancel,1,1,0.12941225436578407,0.5016884767374064,34.72759770300536,0.014446391628580453,6077,-5393.201516556448,True,False
R1,2,sell_cancel,1,2,0.05312244956467654,0.7028302732018852,48.47687210989617,0.014498259533094091,4183,1339.50258819568,True,False
R1,2,sell_cancel,1,3,0.024723333360025326,0.7812756420000139,92.0448756053495,0.008487986287795117,2645,3637.2178479449194,True,False
R1,2,sell_cancel,1,4,0.004895931511600123,0.827981546245897,176.55804809513788,0.004689571249676147,666,1489.0745868154602,True,False
R1,2,sell_cancel,1,5,0.001,0.8275125703848684,14713.033944115323,5.6243503109421105e-05,58,356.71519313761337,True,False
R1,2,sell_cancel,2,0,0.44498174719780653,0.1200464004208466,853.4136688939645,0.0001406661327283735,11833,-14890.191376861601,True,False
R1,2,sell_cancel,2,1,0.08450945679185391,0.4534230551183899,43.248889915752734,0.01048403915110056,3618,-4740.443745255599,True,False
R1,2,sell_cancel,2,2,0.025996948122364402,0.6130235687966755,74.62985079274657,0.008214187249269653,1572,-629.7044718284587,True,False
R1,2,sell_cancel,2,3,0.0069656870555575914,0.7218486401314438,166.47396750291958,0.004336105223892043,586,481.68137653481915,True,False
R1,2,sell_cancel,2,4,0.0016634982164640778,0.849122871794676,345.475875793755,0.002457835499638743,258,750.6876747305804,True,False
R1,2,sell_cancel,2,5,0.001,0.9130312886917397,403.9224331764293,0.0022604124299601272,46,184.4269862301848,True,False
R1,2,sell_cancel,3,0,0.3575137054747617,0.1254628917654605,543.9319594644365,0.0002306591653283126,9566,-14104.73141906456,True,False
R1,2,sell_cancel,3,1,0.05766620032415557,0.4653782475621831,37.16135186890161,0.012523178629344585,2524,-3846.933960758946,True,False
R1,2,sell_cancel,3,2,0.017049592878500275,0.601040526838471,71.87822934513991,0.008361927280546048,1000,-698.8977991508178,True,False
R1,2,sell_cancel,3,3,0.0033467259643975788,0.7110205589733305,121.05657721124027,0.005873456654342869,271,77.83228937064177,True,False
R1,2,sell_cancel,3,4,0.001,0.8477968610937635,197.57374906478373,0.004291040004589749,92,215.42130642650665,True,False
R1,2,sell_cancel,3,5,0.001,0.0,1.0,0.0,1,-30.30768868175014,False,True
R1,2,sell_cancel,4,0,0.13287457263472702,0.24969677682947108,16.588131243708133,0.015052736993757563,4144,-9465.832842515832,True,False
R1,2,sell_cancel,4,1,0.017746098224774267,0.46140374676853096,28.120366804144304,0.01640816956557375,771,-1792.863749722418,True,False
R1,2,sell_cancel,4,2,0.00437154924766797,0.5755433869109363,75.87598124818702,0.007585317216898441,241,-358.1507113423563,True,False
R1,2,sell_cancel,4,3,0.001327989277380848,0.686109028591407,1758.406573645351,0.00039018793427792695,99,152.1692221869435,False,False
R1,2,sell_cancel,4,4,0.001,0.8726999161394691,1625.4323013729381,0.0005369032689963981,110,502.3867992585343,True,False
R1,2,sell_cancel,4,5,0.001,0.8714266458557521,2775.5612251825587,0.00031396412298504973,70,335.6552967780519,True,False
R1,2,sell_cancel,5,0,0.23011536101869617,0.14555723635119014,240.61838883351115,0.0006049298104639218,6302,-11689.229155676232,True,False
R1,2,sell_cancel,5,1,0.03608614621167744,0.4325174756037154,43.451933143724894,0.009953929418354943,1488,-2897.7793965787455,True,False
R1,2,sell_cancel,5,2,0.009247647894377358,0.5547441904708941,88.61530845910775,0.006260139473834651,486,-615.2219794188347,True,False
R1,2,sell_cancel,5,3,0.0018364774072247413,0.6885980040788194,219.03354207245994,0.003143801618525713,138,32.876807890560514,True,False
R1,2,sell_cancel,5,4,0.001,0.871114750484828,389.44980052864446,0.002236783147153664,87,273.32068832640795,True,False
R1,2,sell_cancel,5,5,0.001,0.7499838400986067,429.25174646238185,0.001747188791378238,16,14.652983529485892,True,False
R1,2,sell_cancel,6,0,0.1005874281824169,0.17354660873523786,142.58454823811002,0.0012171487785999262,2848,-7098.272444333958,True,False
R1,2,sell_cancel,6,1,0.013158224266573586,0.35178582243281503,42.52347674065285,0.008272743655894543,475,-1498.6256470405935,True,False
R1,2,sell_cancel,6,2,0.0014959565655362963,0.5453838667849061,82.01621079009044,0.006649708167824815,77,-172.37114711737564,True,False
R1,2,sell_cancel,6,3,0.001,0.6666547772872371,189.52347409120517,0.003517531432367159,18,-17.121565151452913,True,False
R1,2,sell_cancel,6,4,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
R1,2,sell_cancel,6,5,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
R1,2,sell_cancel,7,0,0.050501870238304436,0.09996872567194552,142.77218362894374,0.000700197497376367,1313,-4606.427971140767,True,False
R1,2,sell_cancel,7,1,0.002238797135615572,0.3688222918650515,48.818148896573916,0.007555024108891102,83,-341.33078776648955,True,False
R1,2,sell_cancel,7,2,0.001,0.5806216642447422,240.73484911884708,0.002411872092345459,31,-50.83493749316823,True,False
R1,2,sell_cancel,7,3,0.001,0.6923010512135935,1639.0633840748146,0.0004223760093355814,13,12.160331999884047,True,False
R1,2,sell_cancel,7,4,0.001,0.9166506398039287,654.6124595842286,0.0014002951309330888,12,48.06132324217903,True,False
R1,2,sell_cancel,7,5,0.001,0.0,1.0,0.0,1,-30.30768868175014,False,True
R1,2,sell_cancel,8,0,0.0565350673160218,0.1632416621207218,257.69018993622194,0.0006334803127783946,1581,-4652.6910265907545,True,False
R1,2,sell_cancel,8,1,0.006172499423877461,0.3853776877844445,72.56830509418397,0.005310551035803795,235,-748.1636583122165,False,False
R1,2,sell_cancel,8,2,0.0018918971915247065,0.5783778313447169,199.49217903661076,0.002899250658034935,105,-134.29470467256795,True,False
R1,2,sell_cancel,8,3,0.001,0.6111041135032598,1602.983314819586,0.0003812292416605964,36,0.08763669258014772,True,False
R1,2,sell_cancel,8,4,0.001,0.8181877009076479,488.6046005446905,0.0016745394947070538,11,25.57525392432119,True,False
R1,2,sell_cancel,8,5,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
R1,2,sell_cancel,9,0,0.0437661670168643,0.1071265460261183,62.74411473846321,0.0017073560838758303,1147,-4217.176615599784,True,False
R1,2,sell_cancel,9,1,0.0017516032663174744,0.3168763830882874,195.95165583308162,0.0016171151080152833,60,-259.82978135963805,True,False
R1,2,sell_cancel,9,2,0.001,0.5788633151369467,69.85434093467494,0.008286719298923415,19,-49.286559598579814,True,False
R1,2,sell_cancel,9,3,0.001,0.7499339556964075,121.82512936140053,0.0061558231838333595,12,0.6693706091053482,True,False
R1,2,sell_cancel,9,4,0.001,0.0,1.0,0.0,4,-51.03095451569655,False,True
R1,2,sell_cancel,9,5,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
R1,2,sell_cancel,10,0,0.24840643700875034,0.14931894177119912,395.5033533268785,0.00037754153160817557,6833,-11633.072508268553,True,False
R1,2,sell_cancel,10,1,0.047228122360437955,0.43673019993901957,82.59064905313393,0.005287889185348976,1962,-2942.6320124674967,True,False
R1,2,sell_cancel,10,2,0.018745358439122582,0.6215352028473777,85.13712501772608,0.007300401589999312,1159,-429.53407338083684,True,False
R1,2,sell_cancel,10,3,0.006152585288074008,0.7283578860802582,123.82217469263657,0.005882289564758969,530,365.9947877105833,True,False
R1,2,sell_cancel,10,4,0.001118791138616607,0.8600016489889046,389.34047021870197,0.002208867854158138,187,596.2057129086795,True,False
R1,2,sell_cancel,10,5,0.001,0.9866372294818634,554.6420882791728,0.0017788719073646116,683,5134.9380106277495,True,False
R1,3,buy_cancel,1,0,0.39400260711732404,0.5543221788572958,0.79878913503297,0.6939530779101248,20684,-20727.801714479017,True,False
R1,3,buy_cancel,1,1,0.21184806832992106,0.32756024873614037,293.39652238931984,0.0011164421652601843,7372,-6030.1488615613325,True,False
R1,3,buy_cancel,1,2,0.0646804332790718,0.6955915352554536,52.3524728222037,0.013286698750941133,4972,1885.9060572668313,True,False
R1,3,buy_cancel,1,3,0.031395623698990134,0.7953600714855406,97.22197905818071,0.008180866910861503,3590,5820.782408818912,True,False
R1,3,buy_cancel,1,4,0.008525035654908664,0.8420541356112734,184.57976931027414,0.004562006653046579,1263,3193.891474786009,True,False
R1,3,buy_cancel,1,5,0.001,0.8522621092397532,292.7054995722072,0.0029116709815338116,88,229.03466724704052,True,False
R1,3,buy_cancel,2,0,0.47238708032362803,0.13180744433574082,655.2728424018148,0.00020114895018786112,12732,-14926.64428315477,True,False
R1,3,buy_cancel,2,1,0.09516383494212806,0.4535394049025912,46.427933629522705,0.009768675223016892,4075,-4957.723817633189,True,False
R1,3,buy_cancel,2,2,0.03153295291627719,0.6144882030433535,81.15268715125099,0.0075720006892449655,1914,-508.6507984395075,True,False
R1,3,buy_cancel,2,3,0.009190715040437851,0.7249842152647725,149.86414099849515,0.004837609653880126,782,688.8829677071261,True,False
R1,3,buy_cancel,2,4,0.002313418373058887,0.810054590973973,564.8181593221573,0.0014341865211028731,285,799.6169463540684,True,False
R1,3,buy_cancel,2,5,0.001,0.8869829542238398,256.9811829837412,0.0034515482570564625,62,206.9788589357575,True,False
R1,3,buy_cancel,3,0,0.3480427147873776,0.13008232861380659,386.5843570364862,0.00033649144422449894,9362,-14178.546899683246,True,False
R1,3,buy_cancel,3,1,0.0549026570778433,0.4560885477684893,38.04224143673588,0.01198900302777803,2362,-3773.9448694593384,True,False
